,film_id,title,description,_merge
0,530,LORD ARIZONA,A Action-Packed Display of a Frisbee And a Pastry Chef who must Pursue a Crocodile in A Jet Boat,left_only
1,823,SOUTH WAIT,A Amazing Documentary of a Car And a Robot who must Escape a Lumberjack in An Abandoned Amusement Park,left_only
2,130,CELEBRITY HORN,A Amazing Documentary of a Secret Agent And a Astronaut who must Vanquish a Hunter in A Shark Tank,left_only
3,732,RINGS HEARTBREAKERS,A Amazing Yarn of a Sumo Wrestler And a Boat who must Conquer a Waitress in New Orleans,left_only
4,115,CAMPUS REMEMBER,A Astounding Drama of a Crocodile And a Mad Cow who must Build a Robot in A Jet Boat,left_only
5,360,GLASS DYING,A Astounding Drama of a Frisbee And a Astronaut who must Fight a Dog in Ancient Japan,left_only
6,318,FIREHOUSE VIETNAM,A Awe-Inspiring Character Study of a Boat And a Boy who must Kill a Pastry Chef in The Sahara Desert,left_only
7,194,CROW GREASE,A Awe-Inspiring Documentary of a Woman And a Husband who must Sink a Database Administrator in The First Manned Space Station,left_only
8,111,CADDYSHACK JEDI,A Awe-Inspiring Epistle of a Woman And a Madman who must Fight a Robot in Soviet Georgia,left_only
9,717,REAR TRADING,A Awe-Inspiring Reflection of a Forensic Psychologist And a Secret Agent who must Succumb a Pastry Chef in Soviet Georgia,left_only
10,395,HANDICAP BOONDOCK,A Beautiful Display of a Pioneer And a Squirrel who must Vanquish a Sumo Wrestler in Soviet Georgia,left_only
11,229,DEVIL DESIRE,A Beautiful Reflection of a Monkey And a Dentist who must Face a Database Administrator in Ancient Japan,left_only
12,38,ARK RIDGEMONT,A Beautiful Yarn of a Pioneer And a Monkey who must Pursue a Explorer in The Sahara Desert,left_only
13,292,EXCITEMENT EVE,A Brilliant Documentary of a Monkey And a Car who must Conquer a Crocodile in A Shark Tank,left_only
14,19,AMADEUS HOLY,A Emotional Display of a Pioneer And a Technical Writer who must Battle a Man in A Baloon,left_only
15,869,SUSPECTS QUILLS,A Emotional Epistle of a Pioneer And a Crocodile who must Battle a Man in A Manhattan Penthouse,left_only
16,252,DREAM PICKUP,A Epic Display of a Car And a Composer who must Overcome a Forensic Psychologist in The Gulf of Mexico,left_only
17,417,HILLS NEIGHBORS,A Epic Display of a Hunter And a Feminist who must Sink a Car in A U-Boat,left_only
18,802,SKY MIRACLE,A Epic Drama of a Mad Scientist And a Explorer who must Succumb a Waitress in An Abandoned Fun House,left_only
19,371,GOSFORD DONNIE,A Epic Panorama of a Mad Scientist And a Monkey who must Redeem a Secret Agent in Berlin,left_only
20,253,DRIFTER COMMANDMENTS,A Epic Reflection of a Womanizer And a Squirrel who must Discover a Husband in A Jet Boat,left_only
21,97,BRIDE INTRIGUE,A Epic Tale of a Robot And a Monkey who must Vanquish a Man in New Orleans,left_only
22,911,TRIP NEWTON,A Fanciful Character Study of a Lumberjack And a Car who must Discover a Cat in An Abandoned Amusement Park,left_only
23,105,BULL SHAWSHANK,A Fanciful Drama of a Moose And a Squirrel who must Conquer a Pioneer in The Canadian Rockies,left_only
24,542,LUST LOCK,A Fanciful Panorama of a Hunter And a Dentist who must Meet a Secret Agent in The Sahara Desert,left_only
25,927,UPRISING UPTOWN,A Fanciful Reflection of a Boy And a Butler who must Pursue a Woman in Berlin,left_only
26,968,WEREWOLF LOLA,A Fanciful Story of a Man And a Sumo Wrestler who must Outrace a Student in A Monastery,left_only
27,511,LAWRENCE LOVE,A Fanciful Yarn of a Database Administrator And a Mad Cow who must Pursue a Womanizer in Berlin,left_only
28,793,SHRUNK DIVINE,A Fateful Character Study of a Waitress And a Technical Writer who must Battle a Hunter in A Baloon,left_only
29,697,PRIMARY GLASS,A Fateful Documentary of a Pastry Chef And a Butler who must Build a Dog in The Canadian Rockies,left_only
30,707,QUEST MUSSOLINI,A Fateful Drama of a Husband And a Sumo Wrestler who must Battle a Pastry Chef in A Baloon Factory,left_only
31,212,DARN FORRESTER,A Fateful Story of a A Shark And a Explorer who must Succumb a Technical Writer in A Jet Boat,left_only
32,271,EASY GLADIATOR,A Fateful Story of a Monkey And a Girl who must Overcome a Pastry Chef in Ancient India,left_only
33,29,ANTITRUST TOMATOES,A Fateful Yarn of a Womanizer And a Feminist who must Succumb a Database Administrator in Ancient India,left_only
34,982,WOMEN DORADO,A Insightful Documentary of a Waitress And a Butler who must Vanquish a Composer in Australia,left_only
35,21,AMERICAN CIRCUS,A Insightful Drama of a Girl And a Astronaut who must Face a Database Administrator in A Shark Tank,left_only
36,205,DANCES NONE,A Insightful Reflection of a A Shark And a Dog who must Kill a Butler in An Abandoned Amusement Park,left_only
37,501,KISSING DOLLS,A Insightful Reflection of a Pioneer And a Teacher who must Build a Composer in The First Manned Space Station,left_only
38,126,CASUALTIES ENCINO,A Insightful Yarn of a A Shark And a Pastry Chef who must Face a Boy in A Monastery,left_only
39,56,BAREFOOT MANCHURIAN,A Intrepid Story of a Cat And a Student who must Vanquish a Girl in An Abandoned Amusement Park,left_only
40,825,SPEAKEASY DATE,A Lacklusture Drama of a Forensic Psychologist And a Car who must Redeem a Man in A Manhattan Penthouse,left_only
41,850,STORY SIDE,A Lacklusture Saga of a Boy And a Cat who must Sink a Dentist in An Abandoned Mine Shaft,left_only
42,327,FOOL MOCKINGBIRD,A Lacklusture Tale of a Crocodile And a Composer who must Defeat a Madman in A U-Boat,left_only
43,794,SIDE ARK,A Stunning Panorama of a Crocodile And a Womanizer who must Meet a Feminist in The Canadian Rockies,left_only
44,210,DARKO DORADO,A Stunning Reflection of a Frisbee And a Husband who must Redeem a Dog in New Orleans,left_only
45,659,PARK CITIZEN,A Taut Epistle of a Sumo Wrestler And a Girl who must Face a Husband in Ancient Japan,left_only
46,250,DRAGON SQUAD,A Taut Reflection of a Boy And a Waitress who must Outgun a Teacher in Ancient China,left_only
47,574,MIDNIGHT WESTWARD,A Taut Reflection of a Husband And a A Shark who must Redeem a Pastry Chef in A Monastery,left_only
48,67,BERETS AGENT,A Taut Saga of a Crocodile And a Boy who must Overcome a Technical Writer in Ancient China,left_only
49,664,PATRIOT ROMAN,A Taut Saga of a Robot And a Database Administrator who must Challenge a Astronaut in California,left_only
50,162,CLUELESS BUCKET,A Taut Tale of a Car And a Pioneer who must Conquer a Sumo Wrestler in An Abandoned Fun House,left_only
51,579,MINDS TRUMAN,A Taut Yarn of a Mad Scientist And a Crocodile who must Outgun a Database Administrator in A Monastery,left_only
52,549,MAGNOLIA FORRESTER,A Thoughtful Documentary of a Composer And a Explorer who must Conquer a Dentist in New Orleans,left_only
53,287,ENTRAPMENT SATISFACTION,A Thoughtful Panorama of a Hunter And a Teacher who must Reach a Mad Cow in A U-Boat,left_only
54,586,MOCKINGBIRD HOLLYWOOD,A Thoughtful Panorama of a Man And a Car who must Sink a Composer in Berlin,left_only
55,329,FORREST SONS,A Thrilling Documentary of a Forensic Psychologist And a Butler who must Defeat a Explorer in A Jet Boat,left_only
56,991,WORST BANGER,A Thrilling Drama of a Madman And a Dentist who must Conquer a Boy in The Outback,left_only
57,915,TRUMAN CRAZY,A Thrilling Epistle of a Moose And a Boy who must Meet a Database Administrator in A Monastery,left_only
58,594,MONTEZUMA COMMAND,A Thrilling Reflection of a Waitress And a Butler who must Battle a Butler in A Jet Boat,left_only
59,838,STAGECOACH ARMAGEDDON,A Touching Display of a Pioneer And a Butler who must Chase a Car in California,left_only
60,748,RUGRATS SHAKESPEARE,A Touching Saga of a Crocodile And a Crocodile who must Discover a Technical Writer in Nigeria,left_only
61,303,FANTASY TROOPERS,A Touching Saga of a Teacher And a Monkey who must Overcome a Secret Agent in A MySQL Convention,left_only
62,964,WATERFRONT DELIVERANCE,A Unbelieveable Documentary of a Dentist And a Technical Writer who must Build a Womanizer in Nigeria,left_only
63,375,GRAIL FRANKENSTEIN,A Unbelieveable Saga of a Teacher And a Monkey who must Fight a Girl in An Abandoned Mine Shaft,left_only
